station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41660,Lake/State,01/01/2001,"13,360.8","5,721.8","3,575.8","334,704"
41090,Monroe/State,01/01/2001,"7,123","2,439.3","1,269.2","172,809"
40560,Jackson/State,01/01/2001,"11,340.2","3,649","1,877.6","273,468"
40370,Washington/Dearborn,01/01/2001,"8,579.6","2,215.5","1,201.2","203,619"
40790,Monroe/Dearborn,01/01/2001,"5,668","1,041.8",540.8,"131,567"
40070,Jackson/Dearborn,01/01/2001,"7,105.5","1,856",926.6,"168,377"
40730,Washington/Wells,01/01/2001,"7,217.2",718.3,303,"163,166"
40040,Quincy/Wells,01/01/2001,"7,928.3",895.8,431,"180,161"
40160,LaSalle/Van Buren,01/01/2001,"3,638.3",300,123.4,"81,860"
40850,Library,01/01/2001,"2,391.6",701.8,248,"56,662"
40680,Adams/Wabash,01/01/2001,"6,918.8","2,206",978.2,"165,928"
40260,State/Lake,01/01/2001,"8,352.5","3,808.5","2,390.8","210,942"
40380,Clark/Lake,01/01/2001,"15,174.9","2,356.3","1,363.4","350,089"
41660,Lake/State,02/01/2001,"13,598.5","5,792.3","3,971","311,022"
41090,Monroe/State,02/01/2001,"7,399","2,665","1,488.5","164,594"
40560,Jackson/State,02/01/2001,"11,756","3,877.3","2,125.8","259,132"
40370,Washington/Dearborn,02/01/2001,"8,890.6","2,275.5","1,379","192,430"
40790,Monroe/Dearborn,02/01/2001,"5,945.8","1,102.3",652.3,"125,934"
40070,Jackson/Dearborn,02/01/2001,"7,392.2","1,903.5","1,041.3","159,623"
40730,Washington/Wells,02/01/2001,"7,188.8",711.5,370.3,"148,103"
40040,Quincy/Wells,02/01/2001,"7,766.4",911.8,523.8,"161,069"
40160,LaSalle/Van Buren,02/01/2001,"3,603",272,128.3,"73,661"
40850,Library,02/01/2001,"2,534.2",755,334.3,"55,040"
40680,Adams/Wabash,02/01/2001,"7,185.7","2,301.8","1,141.8","157,488"
40260,State/Lake,02/01/2001,"8,397.4","3,733","2,513.5","192,934"
40380,Clark/Lake,02/01/2001,"15,290.2","2,425","1,677.3","322,212"
41660,Lake/State,03/01/2001,"13,990.4","6,586.8","4,062","356,970"
41090,Monroe/State,03/01/2001,"7,587.1","3,152.2","1,492.8","188,649"
40560,Jackson/State,03/01/2001,"11,979.2","4,664.8","2,398","296,458"
40370,Washington/Dearborn,03/01/2001,"9,148.2","2,637.8","1,364.5","219,907"
40790,Monroe/Dearborn,03/01/2001,"5,987.7","1,304",654.5,"140,867"
40070,Jackson/Dearborn,03/01/2001,"7,562.1","2,407.2","1,175.5","183,105"
40730,Washington/Wells,03/01/2001,"6,490.5",643.4,238,"146,960"
40040,Quincy/Wells,03/01/2001,"7,157.1",845,453.5,"163,495"
40160,LaSalle/Van Buren,03/01/2001,"3,276.6",250,132.3,"73,864"
40850,Library,03/01/2001,"2,260.5",693.2,273.5,"54,290"
40680,Adams/Wabash,03/01/2001,"7,770.8","3,131","1,368.5","192,086"
40260,State/Lake,03/01/2001,"8,215.4","4,160.8","2,593.8","211,918"
40380,Clark/Lake,03/01/2001,"16,524.5","3,166.8","1,926.3","387,078"
41660,Lake/State,04/01/2001,"13,607.5","6,153.8","4,007","330,407"
41090,Monroe/State,04/01/2001,"7,580.1","2,756.5","1,501.2","177,714"
40560,Jackson/State,04/01/2001,"12,123.5","4,111.3","2,358","282,829"
40370,Washington/Dearborn,04/01/2001,"9,005.4","2,517.8","1,339.2","205,880"
40790,Monroe/Dearborn,04/01/2001,"5,959.9","1,133.8",696.8,"133,176"
40070,Jackson/Dearborn,04/01/2001,"7,622.3","2,142.3","1,266.4","174,969"
40730,Washington/Wells,04/01/2001,"7,029.8",686,318.4,"151,961"
40040,Quincy/Wells,04/01/2001,"7,907.8","1,048.3",631.6,"173,414"
40160,LaSalle/Van Buren,04/01/2001,"3,401.9",291,144,"73,323"
40850,Library,04/01/2001,"2,468",794.3,391.6,"56,962"
40680,Adams/Wabash,04/01/2001,"7,503.3","2,702.3","1,383.2","175,294"
40260,State/Lake,04/01/2001,"8,120.9","4,128.3","2,638.8","200,245"
40380,Clark/Lake,04/01/2001,"16,077.4","2,916.8","1,912.6","358,856"
41660,Lake/State,05/01/2001,"13,790.5","6,444.3","4,405","351,194"
41090,Monroe/State,05/01/2001,"7,506.6","3,001","1,852.6","186,413"
40560,Jackson/State,05/01/2001,"11,700.2","4,148.8","2,497.4","286,486"
40370,Washington/Dearborn,05/01/2001,"9,290.5","2,549.8","1,535","222,264"
40790,Monroe/Dearborn,05/01/2001,"5,911.4","1,186.3",722.8,"138,409"
40070,Jackson/Dearborn,05/01/2001,"7,545.1","2,311.3","1,337.4","181,925"
40730,Washington/Wells,05/01/2001,"7,209.1",721.8,379.8,"163,387"
40040,Quincy/Wells,05/01/2001,"7,979.1","1,084.5",726.4,"183,511"
40160,LaSalle/Van Buren,05/01/2001,"3,484.4",320,174.2,"78,807"
40850,Library,05/01/2001,"2,476.2",765.5,380,"59,438"
40680,Adams/Wabash,05/01/2001,"7,477.5","2,657.3","1,501.8","182,644"
40260,State/Lake,05/01/2001,"8,209.2","4,051.3","2,979.6","211,706"
40380,Clark/Lake,05/01/2001,"16,358.2","2,928.3","2,067.6","381,932"
41660,Lake/State,06/01/2001,"14,203.7","6,797.2","5,071","352,548"
41090,Monroe/State,06/01/2001,"7,733.9","3,511.6","2,023.8","188,065"
40560,Jackson/State,06/01/2001,"11,786.3","5,970.8","3,429.3","291,083"
40370,Washington/Dearborn,06/01/2001,"9,599.7","3,176","1,851.3","224,879"
40790,Monroe/Dearborn,06/01/2001,"5,868.1","1,636.2",858.5,"134,845"
40070,Jackson/Dearborn,06/01/2001,"7,641.4","4,000.2","1,982.8","188,401"
40730,Washington/Wells,06/01/2001,"7,365.6",985,461.3,"161,447"
40040,Quincy/Wells,06/01/2001,"8,220.2","1,165.6",793,"181,625"
40160,LaSalle/Van Buren,06/01/2001,"3,541.5",324.8,182.5,"76,726"
40850,Library,06/01/2001,"2,351","1,058.4",534.8,"56,802"
40680,Adams/Wabash,06/01/2001,"7,595.7","4,811.2","2,323.8","192,860"
40260,State/Lake,06/01/2001,"8,523.9","4,580.6","3,496.3","215,890"
40380,Clark/Lake,06/01/2001,"16,736.1","3,270.2","2,440.8","377,572"
41660,Lake/State,07/01/2001,"14,398.1","6,785","4,893.8","358,863"
41090,Monroe/State,07/01/2001,"7,999.3","3,529.5","2,575.7","197,558"
40560,Jackson/State,07/01/2001,"11,982.9","5,526.8","5,240.5","305,191"
40370,Washington/Dearborn,07/01/2001,"9,897.6","3,266.5","2,236.8","234,336"
40790,Monroe/Dearborn,07/01/2001,"6,121","1,711.5","1,321.7","143,318"
40070,Jackson/Dearborn,07/01/2001,"8,275.2","3,630.5","3,955.3","212,034"
40730,Washington/Wells,07/01/2001,"7,373.7","1,047.5",455.5,"161,771"
40040,Quincy/Wells,07/01/2001,"8,047.8","1,174.5",843.3,"178,762"
40160,LaSalle/Van Buren,07/01/2001,"3,519.2",339,196.5,"76,439"
40850,Library,07/01/2001,"2,654.2","1,186.8","1,028.7","66,657"
40680,Adams/Wabash,07/01/2001,"8,242.8","4,229.8","4,978.5","219,889"
40260,State/Lake,07/01/2001,"8,923.5","4,674","3,553.2","227,409"
40380,Clark/Lake,07/01/2001,"16,558.1","3,231.5","2,517.5","375,752"
41660,Lake/State,08/01/2001,"13,945.2","6,358.3","4,897","365,761"
41090,Monroe/State,08/01/2001,"7,612.7","2,764.8","1,905","193,770"
40560,Jackson/State,08/01/2001,"10,849.2","3,777.3","2,664","275,297"
40370,Washington/Dearborn,08/01/2001,"9,387.7","2,662.8","1,915","234,229"
40790,Monroe/Dearborn,08/01/2001,"5,667.3","1,083.3",877.5,"138,190"
40070,Jackson/Dearborn,08/01/2001,"7,109.1","2,137.5","1,669.8","178,738"
40730,Washington/Wells,08/01/2001,"7,053.8",742.8,470.5,"167,091"
40040,Quincy/Wells,08/01/2001,"7,902.5","1,224.8",855.8,"190,079"
40160,LaSalle/Van Buren,08/01/2001,"3,424.1",323.5,186.8,"80,795"
40850,Library,08/01/2001,"2,251.7",707,492.3,"56,585"
40680,Adams/Wabash,08/01/2001,"7,021","2,472.8","1,805.8","178,596"
40260,State/Lake,08/01/2001,"8,619.2","4,291","3,753.8","230,420"
40380,Clark/Lake,08/01/2001,"15,972.9","2,908.3","2,511.3","389,054"
41660,Lake/State,09/01/2001,"14,063.2","6,518.6","4,356.7","325,934"
41090,Monroe/State,09/01/2001,"7,582.1","3,328.2","2,062.7","173,077"
40560,Jackson/State,09/01/2001,"12,173.7","4,270","2,493.5","267,612"
40370,Washington/Dearborn,09/01/2001,"9,256.8","2,778","1,574.2","199,215"
40790,Monroe/Dearborn,09/01/2001,"5,886.9","1,338.8",873.2,"123,784"
40070,Jackson/Dearborn,09/01/2001,"7,454.4","2,219.2","1,395.5","161,102"
